id,ra,dec,f606w
9431,265.174876,-53.674782,22.6559 
9432,265.174839,-53.673943,17.8734 
9433,265.174651,-53.674029,18.1601 
9434,265.174558,-53.674509,24.7512 
9435,265.174438,-53.674854,21.4933 
9436,265.175202,-53.674168,17.7148 
9437,265.175139,-53.674623,19.3714 
9438,265.175101,-53.67385,23.8569 
9632,265.18483,-53.672548,17.0508 
9633,265.184551,-53.672596,17.8656 
9634,265.183541,-53.673046,18.513 
9635,265.183392,-53.673618,18.6941 
9636,265.185363,-53.672814,21.6873 
9637,265.184933,-53.673189,21.7043 
9639,265.184637,-53.673508,21.7539 
9640,265.184443,-53.673557,20.4414 
9641,265.183762,-53.673742,22.7589 
9717,265.187337,-53.672989,17.8378 
9718,265.187019,-53.673644,18.3818 
9719,265.186328,-53.673137,17.6034 
9720,265.186129,-53.673506,17.0502 
9721,265.185817,-53.673021,17.9157 
9722,265.185678,-53.672864,18.7073 
9723,265.187697,-53.673271,21.305 
9724,265.186996,-53.672534,22.0935 
9727,265.186425,-53.673568,20.603 
9728,265.186404,-53.673057,19.7293 
9731,265.185822,-53.673295,19.6058 
9732,265.185781,-53.672792,19.707 
9734,265.185793,-53.672821,22.8127 
9785,265.177492,-53.6728,17.8733 
9786,265.178718,-53.672835,18.8983 
9787,265.178658,-53.673139,17.0759 
9788,265.178542,-53.673272,16.9125 
9789,265.178272,-53.672923,17.5651 
9790,265.178167,-53.673606,18.0927 
9791,265.178141,-53.673378,21.3314 
9792,265.178082,-53.672764,17.2192 
9793,265.17802,-53.672955,19.0788 
9794,265.177951,-53.67276,20.1478 
9795,265.177841,-53.673034,21.5213 
9796,265.177661,-53.673535,19.1474 
9797,265.177633,-53.672846,21.4822 
9798,265.177381,-53.673211,17.723 
9799,265.177247,-53.672629,19.0971 
9800,265.177226,-53.673176,18.8192 
9801,265.177248,-53.673182,19.9497 
9802,265.177174,-53.672715,19.7106 
9803,265.176981,-53.673433,18.8046 
9804,265.176944,-53.673611,21.6567 
9806,265.176837,-53.673259,20.0022 
9808,265.176804,-53.673449,18.7744 
9809,265.176711,-53.673356,20.9586 
9810,265.176623,-53.67316,18.1114 
9812,265.177367,-53.673801,24.6511 
